age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,capital-gains,capital-loss,incident_date,accident_type,collision_type,incident_severity,authorities_contacted,state,city,property_damage,bodily_injuries,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
40,729634,IN,100/300,500,1201.41,0,FEMALE,88400,-46500,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,YES,1,?,70510,12820,12820,44870,Suburu,Forrestor,1999
39,282195,OH,250/500,1000,1393.57,0,MALE,47600,-39600,2015-02-27,Parked Car,?,Minor Damage,Police,VA,Northbend,NO,0,YES,2640,480,480,1680,Ford,F150,2009
26,420810,OH,100/300,1000,1276.57,0,MALE,71500,0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,YES,1,NO,78900,15780,7890,55230,Chevrolet,Silverado,1995
56,524836,IN,250/500,500,1082.49,0,FEMALE,36100,-55000,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,?,2,?,56430,0,6270,50160,Honda,CRV,2014
32,307195,IN,500/1000,1000,1414.74,0,FEMALE,0,0,2015-02-22,Parked Car,?,Minor Damage,,VA,Riverwood,NO,1,NO,2400,300,300,1800,Chevrolet,Silverado,2014
39,623648,IL,250/500,2000,1470.06,0,MALE,56600,-45800,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,YES,0,NO,65790,7310,7310,51170,Saab,93,2007
36,485372,OH,250/500,2000,870.63,0,FEMALE,94800,-58500,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,NO,1,NO,62920,11440,5720,45760,Ford,Escape,2000
44,303987,IL,500/1000,1000,1168.2,0,MALE,69100,0,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,NO,0,NO,44280,7380,3690,33210,Honda,Accord,1997
32,343161,IL,500/1000,1000,993.51,0,MALE,0,-49500,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,NO,0,YES,56300,5630,11260,39410,BMW,M5,2011
64,346002,OH,250/500,500,835.02,0,FEMALE,59600,0,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,NO,1,NO,33930,0,3770,30160,BMW,X6,1998
30,500533,OH,100/300,1000,1061.33,0,MALE,43300,-66200,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,NO,0,NO,68530,12460,6230,49840,Audi,A5,1997
49,348209,IN,500/1000,1000,1279.08,0,MALE,0,-51500,2015-02-27,Parked Car,?,Minor Damage,,NC,Riverwood,NO,0,?,4300,860,860,2580,Ford,F150,2004
41,657045,OH,250/500,1000,895.83,0,FEMALE,0,0,2015-02-11,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,NO,1,NO,30100,3010,0,27090,Chevrolet,Malibu,1999
37,761189,IN,100/300,500,1632.93,0,FEMALE,0,-42900,2015-02-23,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,NO,2,YES,57120,9520,4760,42840,Mercedes,C300,2002
40,175177,IL,100/300,1000,1405.99,0,FEMALE,0,0,2015-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,YES,1,YES,42930,9540,4770,28620,BMW,X6,2005
35,116700,OH,100/300,1000,1425.54,0,FEMALE,78300,0,2015-01-15,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,NO,2,NO,51210,11380,5690,34140,Ford,Fusion,2010
45,166264,OH,500/1000,1000,1038.09,0,FEMALE,0,-19700,2015-01-14,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,NO,1,YES,89400,14900,7450,67050,Suburu,Legacy,1998
47,527945,IN,250/500,500,1307.11,0,MALE,0,0,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,NO,0,?,59730,10860,10860,38010,Audi,A3,2005
39,627540,OH,500/1000,1000,1489.24,6000000,FEMALE,0,-45000,2015-01-24,Vehicle Theft,?,Minor Damage,,SC,Springfield,YES,2,YES,8060,1240,1240,5580,Saab,95,2004
31,484200,OH,250/500,2000,1340.43,0,MALE,52700,-40600,2015-02-19,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,NO,1,NO,50800,10160,10160,30480,Accura,MDX,2005
40,645258,OH,500/1000,2000,1267.81,5000000,FEMALE,0,0,2015-01-03,Vehicle Theft,?,Trivial Damage,,NC,Northbrook,?,2,?,6600,660,1320,4620,Accura,TL,2005
29,694662,IL,250/500,1000,1234.2,6000000,MALE,0,0,2015-01-29,Vehicle Theft,?,Minor Damage,Police,NY,Northbrook,YES,2,NO,7500,750,1500,5250,Nissan,Maxima,2002
35,960680,IN,250/500,2000,1318.06,0,MALE,57300,-80600,2015-01-19,Vehicle Theft,?,Trivial Damage,,VA,Hillsdale,NO,0,YES,6490,1180,1180,4130,Volkswagen,Jetta,2002
41,498875,OH,100/300,2000,1514.72,0,MALE,35700,0,2015-02-02,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,YES,0,?,58300,5830,11660,40810,Suburu,Legacy,2007
34,798177,IL,500/1000,1000,873.64,4000000,FEMALE,800,0,2015-01-30,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,NO,2,?,68400,11400,11400,45600,Ford,F150,2007
32,614763,IL,500/1000,500,1612.43,0,FEMALE,36400,0,2015-01-08,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,?,2,YES,64240,11680,11680,40880,BMW,3 Series,2015
36,679370,IL,500/1000,2000,1318.24,9000000,FEMALE,0,-78600,2015-01-30,Parked Car,?,Trivial Damage,,WV,Arlington,NO,0,YES,4700,940,470,3290,Dodge,Neon,2002
29,686816,OH,250/500,2000,1326.44,5000000,FEMALE,0,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,YES,1,?,66950,10300,10300,46350,Saab,93,1995
42,918629,IL,250/500,2000,1322.78,0,MALE,55200,0,2015-02-28,Parked Car,?,Trivial Damage,,WV,Springfield,NO,0,NO,5900,590,590,4720,BMW,X5,2007
43,731450,IN,100/300,1000,1483.25,0,FEMALE,90700,-20800,2015-02-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,NO,1,?,70680,5890,11780,53010,Ford,Fusion,2009
42,307447,IL,100/300,500,1515.3,0,FEMALE,0,0,2015-01-19,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,NO,1,NO,93720,17040,8520,68160,Mercedes,ML350,2005
25,992145,IL,100/300,2000,1075.18,5000000,FEMALE,67700,-58400,2015-02-21,Vehicle Theft,?,Minor Damage,,OH,Northbrook,NO,2,YES,6930,1260,630,5040,Toyota,Highlander,2001
48,740019,OH,250/500,1000,1148.73,0,FEMALE,0,0,2015-02-22,Parked Car,?,Trivial Damage,,WV,Columbus,?,1,YES,5400,900,900,3600,Saab,95,1999
42,246882,IL,100/300,1000,969.5,0,MALE,0,0,2015-01-26,Vehicle Theft,?,Trivial Damage,,NC,Northbrook,NO,0,?,5600,700,700,4200,Audi,A3,2007
41,797613,IN,100/300,500,1463.82,0,FEMALE,0,-72300,2015-01-24,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,YES,0,?,79300,15860,15860,47580,Saab,92x,2007
27,193442,IL,100/300,1000,1474.17,0,FEMALE,0,0,2015-02-19,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,YES,1,YES,52800,10560,5280,36960,Saab,95,2004
41,389238,IL,250/500,500,1497.35,0,FEMALE,37300,-31700,2015-01-29,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,?,2,NO,28800,0,3600,25200,Ford,Fusion,2013
33,760179,OH,100/300,1000,1427.14,0,FEMALE,35300,-58100,2015-02-15,Parked Car,?,Minor Damage,Police,WV,Northbend,NO,1,NO,2970,330,330,2310,Toyota,Highlander,2008
54,939905,OH,500/1000,500,1495.1,0,MALE,50500,0,2015-02-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,NO,0,?,93480,15580,7790,70110,Chevrolet,Malibu,2014
49,872814,IL,100/300,500,1141.62,0,MALE,34300,-24300,2015-01-01,Vehicle Theft,?,Minor Damage,,WV,Columbus,YES,1,YES,4320,480,480,3360,Mercedes,E400,2002
28,283414,IN,500/1000,2000,1207.36,0,FEMALE,0,-57000,2015-03-01,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Columbus,NO,1,?,74200,7420,14840,51940,Volkswagen,Passat,1997
42,776860,OH,250/500,500,1337.56,0,FEMALE,0,0,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Riverwood,?,1,YES,74700,7470,14940,52290,Dodge,RAM,2010
41,395269,IL,500/1000,500,1222.75,0,MALE,0,-41000,2015-01-30,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Columbus,?,2,NO,81070,14740,14740,51590,BMW,X5,2001
32,981123,IN,100/300,1000,1059.52,0,MALE,0,-40600,2015-03-01,Multi-vehicle Collision,Side Collision,Major Damage,Other,VA,Hillsdale,?,1,?,57720,14430,9620,33670,Saab,93,2007
51,143626,OH,250/500,2000,1124.38,0,MALE,0,0,2015-02-24,Vehicle Theft,?,Minor Damage,,VA,Northbrook,YES,1,YES,7080,1180,1180,4720,Ford,F150,2001
31,154982,IL,500/1000,2000,1374.22,0,FEMALE,62000,-63100,2015-02-26,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Hillsdale,NO,0,NO,51260,9320,9320,32620,Suburu,Legacy,2002
38,319232,IL,250/500,2000,1269.76,0,FEMALE,44300,0,2015-01-17,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Hillsdale,NO,1,YES,90000,18000,9000,63000,Ford,Fusion,2015
39,531640,OH,250/500,500,964.79,8000000,FEMALE,58000,0,2015-02-20,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,?,0,?,72820,13240,6620,52960,BMW,3 Series,2010
41,368050,IL,500/1000,2000,1167.3,4000000,MALE,0,0,2015-02-22,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Hillsdale,NO,2,?,69300,13860,13860,41580,Volkswagen,Passat,2000
25,824540,OH,250/500,2000,1053.24,0,FEMALE,51100,0,2015-01-05,Multi-vehicle Collision,Front Collision,Total Loss,Other,NC,Arlington,YES,1,NO,77130,8570,17140,51420,Accura,MDX,1995
35,717392,IL,100/300,500,1040.75,0,FEMALE,0,0,2015-02-03,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,YES,1,?,42000,7000,7000,28000,BMW,X5,2011
39,965768,IN,250/500,1000,1302.4,6000000,MALE,47200,-69700,2015-02-17,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Hillsdale,NO,2,YES,36300,3300,9900,23100,Ford,Escape,2013
38,414779,IL,100/300,2000,1588.55,0,MALE,59600,-32100,2015-01-09,Single Vehicle Collision,Side Collision,Total Loss,Other,WV,Columbus,NO,0,?,40320,5760,5760,28800,Suburu,Impreza,2001
32,428230,IN,500/1000,500,1399.26,0,FEMALE,70500,0,2015-02-08,Parked Car,?,Minor Damage,Police,PA,Northbrook,?,2,?,3960,330,660,2970,BMW,M5,1998
45,718428,IN,250/500,1000,1397.67,0,MALE,57900,0,2015-01-22,Multi-vehicle Collision,Front Collision,Minor Damage,Other,NY,Arlington,YES,1,NO,84720,14120,14120,56480,Ford,Escape,1999
39,620215,IN,250/500,500,823.17,0,MALE,0,0,2015-02-23,Multi-vehicle Collision,Front Collision,Major Damage,Other,WV,Columbus,?,2,NO,61500,6150,12300,43050,Dodge,RAM,2012
27,618659,OH,100/300,500,965.13,0,FEMALE,60000,-54800,2015-02-22,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Arlington,?,0,?,51000,8500,8500,34000,Nissan,Pathfinder,2013
33,649082,IL,500/1000,1000,1922.84,0,FEMALE,0,-45200,2015-01-24,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,?,2,NO,46800,4680,9360,32760,Jeep,Wrangler,2002
32,437573,OH,250/500,2000,1624.82,0,MALE,65300,-65600,2015-02-09,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Northbend,?,1,?,78120,17360,8680,52080,BMW,3 Series,2006
40,932502,IL,100/300,1000,1439.34,0,FEMALE,45300,-20400,2015-01-01,Vehicle Theft,?,Minor Damage,Police,VA,Riverwood,?,0,NO,3690,410,410,2870,Ford,Escape,2015
28,434507,IL,250/500,1000,1281.27,0,FEMALE,68900,0,2015-01-07,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,NO,0,?,65500,6550,6550,52400,BMW,X5,2010
46,935277,IL,500/1000,500,1348.83,0,FEMALE,46300,-77500,2015-02-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,Springfield,?,1,YES,76120,13840,6920,55360,Toyota,Camry,1999
32,756054,IL,250/500,1000,1198.15,0,FEMALE,0,-43200,2015-02-21,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Springfield,NO,0,YES,73560,12260,12260,49040,BMW,X5,1995
35,682387,OH,100/300,2000,1221.22,0,MALE,76000,0,2015-01-21,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbend,YES,0,?,52030,9460,4730,37840,Mercedes,E400,2008
41,456604,IL,500/1000,2000,968.74,0,MALE,0,-49000,2015-01-19,Vehicle Theft,?,Trivial Damage,,SC,Northbrook,?,2,?,5170,470,940,3760,Suburu,Forrestor,2001
34,139872,IN,250/500,1000,1220.71,0,MALE,58600,-28700,2015-02-27,Parked Car,?,Minor Damage,,SC,Northbend,?,2,YES,8190,1890,1260,5040,Chevrolet,Silverado,2013
31,165485,IL,500/1000,2000,1320.75,0,FEMALE,54100,0,2015-02-01,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,Springfield,?,0,YES,45630,5070,5070,35490,Accura,MDX,2011
38,395983,OH,100/300,500,1355.08,0,FEMALE,58100,0,2015-01-19,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,?,1,?,47300,4730,4730,37840,Nissan,Pathfinder,2014
32,203914,OH,100/300,1000,1000.06,0,FEMALE,0,0,2015-01-09,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,?,1,?,82720,7520,15040,60160,Audi,A3,2014
45,565157,IL,100/300,1000,1046.71,0,MALE,0,0,2015-02-27,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Hillsdale,?,2,?,48060,10680,5340,32040,Mercedes,C300,2009
54,419510,OH,100/300,1000,1372.27,0,FEMALE,17600,0,2015-01-08,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Columbus,NO,2,?,63240,10540,10540,42160,Suburu,Forrestor,1997
61,781181,OH,100/300,2000,1402.75,0,MALE,0,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,?,2,YES,72100,7210,14420,50470,Jeep,Wrangler,2006
59,299796,IN,250/500,500,1344.36,7000000,FEMALE,0,0,2015-02-06,Parked Car,?,Minor Damage,,WV,Northbend,?,2,NO,6500,1300,650,4550,Saab,92x,2013
38,589749,IN,100/300,1000,1197.71,0,MALE,29000,0,2015-02-14,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Springfield,?,2,?,78240,13040,13040,52160,Suburu,Legacy,2013
29,854021,OH,100/300,500,1203.24,0,FEMALE,62500,-66900,2015-02-05,Vehicle Theft,?,Minor Damage,Police,NY,Columbus,?,2,?,6200,1240,620,4340,Honda,Accord,1999
36,454086,IN,500/1000,1000,1152.4,0,FEMALE,39600,-82400,2015-01-25,Parked Car,?,Minor Damage,Police,VA,Springfield,YES,2,?,6160,560,1680,3920,Mercedes,E400,2014
48,139484,IN,500/1000,2000,1142.62,7000000,FEMALE,0,-54000,2015-01-16,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Northbrook,?,2,?,76050,11700,11700,52650,Chevrolet,Silverado,1997
48,678849,OH,500/1000,1000,1332.07,0,FEMALE,49700,-59100,2015-01-28,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Hillsdale,NO,2,YES,86060,13240,13240,59580,Volkswagen,Passat,2002
34,985436,IL,250/500,500,1495.06,0,FEMALE,38100,-31400,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,PA,Columbus,NO,2,YES,99990,18180,18180,63630,Mercedes,E400,2011
29,237418,IN,500/1000,1000,1337.92,0,FEMALE,71400,0,2015-02-23,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Columbus,NO,2,YES,61380,11160,5580,44640,Suburu,Legacy,2012
45,491392,IL,500/1000,1000,1362.29,0,MALE,0,-51100,2015-02-27,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Northbend,NO,0,NO,64000,12800,6400,44800,Saab,95,1999
46,140880,IL,250/500,500,1448.84,0,FEMALE,0,-50000,2015-02-21,Parked Car,?,Trivial Damage,Police,SC,Hillsdale,?,0,NO,5940,660,660,4620,Toyota,Highlander,2015
37,962591,IN,250/500,2000,1241.97,0,MALE,75400,0,2015-01-05,Parked Car,?,Minor Damage,,NY,Hillsdale,NO,1,NO,6700,670,670,5360,Jeep,Wrangler,2011
42,922565,IL,250/500,500,1124.6,0,MALE,0,0,2015-01-30,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,YES,0,?,51740,11940,7960,31840,Jeep,Wrangler,2006
29,154280,IL,250/500,1000,1447.78,0,MALE,35100,-59900,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,Arlington,YES,1,?,44910,4990,4990,34930,Dodge,Neon,2001
31,425973,IN,250/500,500,1229.16,4000000,FEMALE,0,-88300,2015-02-23,Multi-vehicle Collision,Front Collision,Major Damage,Fire,PA,Hillsdale,?,0,YES,48100,11100,7400,29600,Volkswagen,Jetta,2014
44,477177,IL,100/300,1000,1226.49,0,FEMALE,53900,0,2015-02-05,Vehicle Theft,?,Trivial Damage,,WV,Riverwood,NO,0,NO,6100,610,1220,4270,Ford,Fusion,2002
46,648509,IN,100/300,2000,897.89,6000000,MALE,0,-41300,2015-01-21,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Hillsdale,?,1,YES,79600,15920,15920,47760,Jeep,Wrangler,2011
34,914815,IN,100/300,500,1706.79,0,MALE,0,0,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,OH,Hillsdale,NO,1,YES,77040,8560,8560,59920,Honda,Civic,1998
45,249048,IL,250/500,1000,1254.18,0,FEMALE,0,-45100,2015-01-11,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Columbus,YES,0,?,62590,11380,11380,39830,Volkswagen,Jetta,2003
40,144323,IN,500/1000,500,885.08,0,FEMALE,27000,-58900,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbend,YES,0,NO,85150,13100,13100,58950,Chevrolet,Malibu,1998
39,651861,IL,100/300,500,1046.58,4000000,MALE,0,-31700,2015-01-24,Vehicle Theft,?,Trivial Damage,,NY,Hillsdale,?,2,NO,4950,450,900,3600,Chevrolet,Silverado,2010
36,125324,OH,500/1000,2000,1712.68,0,MALE,72200,0,2015-02-18,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Riverwood,?,2,YES,51100,10220,5110,35770,Audi,A3,2006
